city,cases
AGUIAR,3
ALAGOA GRANDE,242
ALAGOA NOVA,103
ALAGOINHA,244
ALCANTIL,4
ALHANDRA,248
AMPARO,12
APARECIDA,12
ARARA,45
ARARUNA,20
ARAÇAGI,113
AREIA DE BARAÚNAS,1
AREIA,109
AREIAL,18
AROEIRAS,58
ASSUNÇÃO,20
BANANEIRAS,52
BARAÚNA,75
BARRA DE SANTA ROSA,14
BARRA DE SANTANA,37
BARRA DE SÃO MIGUEL,5
BAYEUX,601
BAÍA DA TRAIÇÃO,86
BELÉM DO BREJO DO CRUZ,6
BELÉM,112
BERNARDINO BATISTA,2
BOA VENTURA,1
BOA VISTA,47
BOM JESUS,2
BOM SUCESSO,5
BONITO DE SANTA FÉ,1
BOQUEIRÃO,70
BORBOREMA,2
BREJO DO CRUZ,43
BREJO DOS SANTOS,3
CASO SEM LOCALIZAÇÃO DEFINIDA,0
CAAPORÃ,610
CABACEIRAS,7
CABEDELO,1451
CACHOEIRA DOS ÍNDIOS,29
CACIMBA DE AREIA,6
CACIMBA DE DENTRO,36
CACIMBAS,25
CAIÇARA,65
CAJAZEIRAS,260
CAJAZEIRINHAS,1
CALDAS BRANDÃO,34
CAMALAÚ,1
CAMPINA GRANDE,4512
CAPIM,72
CARAÚBAS,3
CARRAPATEIRA,1
CASSERENGUE,67
CATINGUEIRA,7
CATOLÉ DO ROCHA,91
CATURITÉ,32
CONCEIÇÃO,5
CONDADO,53
CONDE,199
CONGO,13
COREMAS,23
COXIXOLA,8
CRUZ DO ESPÍRITO SANTO,165
CUBATI,15
CUITEGI,71
CUITÉ DE MAMANGUAPE,23
CUITÉ,27
CURRAL VELHO,1
CURRAL DE CIMA,11
DAMIÃO,2
DESTERRO,17
DIAMANTE,2
DONA INÊS,6
DUAS ESTRADAS,36
EMAS,1
ESPERANÇA,158
FAGUNDES,22
FREI MARTINHO,1
GADO BRAVO,49
GUARABIRA,1316
GURINHÉM,95
GURJÃO,18
IBIARA,5
IGARACY,2
IMACULADA,11
INGÁ,177
ITABAIANA,394
ITAPORANGA,8
ITAPOROROCA,65
ITATUBA,81
JACARAÚ,40
JERICÓ,3
JOCA CLAUDINO,1
JOÃO PESSOA,8464
JUAREZ TÁVORA,66
JUAZEIRINHO,75
JUNCO DO SERIDÓ,13
JURIPIRANGA,211
JURU,9
LAGOA SECA,228
LAGOA DE DENTRO,10
LAGOA,3
LASTRO,9
LIVRAMENTO,3
LOGRADOURO,21
LUCENA,140
MALTA,19
MAMANGUAPE,609
MANAÍRA,2
MARCAÇÃO,12
MARI,209
MARIZÓPOLIS,4
MASSARANDUBA,83
MATARACA,59
MATINHAS,30
MATO GROSSO,7
MATURÉIA,15
MOGEIRO,31
MONTADAS,25
MONTEIRO,46
MULUNGU,76
MÃE D'ÁGUA,10
NATUBA,18
NAZAREZINHO,4
NOVA FLORESTA,6
NOVA OLINDA,5
NOVA PALMEIRA,16
OLHO D'ÁGUA,26
OLIVEDOS,12
OURO VELHO,0
PARARI,2
PASSAGEM,17
PATOS,931
PAULISTA,46
PEDRA LAVRADA,17
PEDRAS DE FOGO,591
PEDRO RÉGIS,1
PIANCÓ,29
PICUÍ,48
PILAR,75
PILÕES,25
PILÕEZINHOS,96
PIRPIRITUBA,43
PITIMBU,348
POCINHOS,23
POMBAL,103
PRATA,0
PRINCESA ISABEL,26
PUXINANÃ,98
QUEIMADAS,268
QUIXABA,22
REMÍGIO,112
RIACHO DE SANTO ANTÔNIO,6
RIACHO DOS CAVALOS,3
RIACHÃO DO BACAMARTE,140
RIACHÃO DO POÇO,17
RIACHÃO,11
RIO TINTO,191
SALGADINHO,8
SALGADO DE SÃO FÉLIX,56
SANTA CECÍLIA,10
SANTA CRUZ,4
SANTA HELENA,3
SANTA INÊS,5
SANTA LUZIA,124
SANTA RITA,980
SANTA TERESINHA,24
SANTANA DOS GARROTES,2
SANTO ANDRÉ,1
SAPÉ,326
SERRA BRANCA,11
SERRA GRANDE,2
SERRA REDONDA,87
SERRA DA RAIZ,12
SERRARIA,20
SERTÃOZINHO,25
SOBRADO,46
SOLEDADE,49
SOLÂNEA,113
SOSSÊGO,3
SOUSA,382
SUMÉ,26
SÃO BENTINHO,16
SÃO BENTO,415
SÃO DOMINGOS DO CARIRI,1
SÃO FRANCISCO,6
SÃO JOSÉ DA LAGOA TAPADA,16
SÃO JOSÉ DE CAIANA,22
SÃO JOSÉ DE ESPINHARAS,5
SÃO JOSÉ DE PIRANHAS,14
SÃO JOSÉ DE PRINCESA,0
SÃO JOSÉ DO BONFIM,40
SÃO JOSÉ DO BREJO DO CRUZ,1
SÃO JOSÉ DO SABUGI,94
SÃO JOSÉ DOS CORDEIROS,3
SÃO JOSÉ DOS RAMOS,47
SÃO JOÃO DO CARIRI,19
SÃO JOÃO DO RIO DO PEIXE,27
SÃO JOÃO DO TIGRE,1
SÃO MAMEDE,22
SÃO MIGUEL DE TAIPU,59
SÃO SEBASTIÃO DE LAGOA DE ROÇA,73
SÃO SEBASTIÃO DO UMBUZEIRO,4
SÃO VICENTE DO SERIDÓ,18
TACIMA,42
TAPEROÁ,37
TAVARES,15
TEIXEIRA,35
TENÓRIO,7
TRIUNFO,1
UIRAÚNA,11
UMBUZEIRO,18
VIEIRÓPOLIS,3
VISTA SERRANA,2
VÁRZEA,2
ZABELÊ,1
ÁGUA BRANCA,17
